※プランに入れたら緑、発売したらグレー
新商品案		概要・仕様	想定ターゲット\nと使用シーン	デザイン自由度	参考商品1	参考商品2	購買意欲\n・ニーズ	ターゲット規模	競合\n優位性	高単価化\nしやすさ	通年性	推し活との相性	総合点\n（ウェイト付き）	総合点コピペ	ランク	エリア候補1	エリア候補2	生産方法があるか\n※SS～Aランクだけ人力で評価する。

アクスタ ジオラマ		アクスタ ジオラマは、従来の平面的なアクスタを進化させた、2層3層構造の立体的なカスタムグッズです。複数のアクリル板を重ねることで奥行き感のあるシーン表現が可能になり、キャラクターやアイテムをより生き生きとした状態で展示できます。背景や小物との組み合わせにより、オリジナルの世界観を構築できる高カスタマイズ性が特徴です。	推し活を積極的に行うアニメやゲーム、アイドルのファンが主なターゲットで、特に推し活スペースやコレクション棚の装飾アイテムとして活用されます。また、イベント販売やグッズ展示の際に、他の商品との差別化を図りたいコンテンツホルダーにも最適です。個性的なアクスタを求めるオタク層による購入や、推し活の思い出を立体的に残したいファン層での利用が想定されます。	4点：フリーカット	\\New-terastation\buckup-share\00ファンクリ運営サイト\新商品\●アクリル新商品\アクスタ ジオラマ.txt		9	8	9	8	8	10	90	90	SS	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
NFC内蔵アクスタ			記念・育児・推し活・ペット	4点：フリーカット	https://prtimes.jp/main/html/rd/p/000000010.000058696.html		9	8	9	8	8	10	90	90	SS	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
ギミック付きアクスタ		ジョイントで動くアクスタ	推し活・ライフイベント	4点：フリーカット	https://www.7sgood.com/products/P244C1512031	https://item.rakuten.co.jp/gadgetstore/solor_pop_mini/	9	8	9	8	8	10	90	90	SS	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
ボイス付きアクスタ				4点：フリーカット	https://www.trans.co.jp/oshiken/oshiproducts/voicekeyholder/		9	8	9	8	8	10	90	90	SS	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
Web decoのボイスアクスタ					https://www.trans.co.jp/works/odm/myhappymarriagepartners/		9	8	9	8	8	10	90	90	SS			2：新規資材が必要（設備の調整や治具の必要あり）
スノードームみたいなアクスタ（中身はステッカー・スマホスタンドみたいな形・薄さ）				4点：フリーカット			9	8	9	8	8	10	90	90	SS			1：新設備が必要or外注のみ
光る透明うちわ		ネオンサイン風	ライブ・ナイトイベント	5点：Web deco	https://prtimes.jp/main/html/rd/p/000000044.000023076.html		8	9	6	6	8	10	84	84	SS	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
刺繍ネムボ					https://klick.findage.fit/item-fapjw87s41.html		8	9	5	7	8	10	83	83	SS			1：新設備が必要or外注のみ
うちわカバー用シール		公式うちわの顔が映える	推し活	2点：既成デザイン	https://cafepancha2.stores.jp/items/649ea3e2cac6f90033515a5c		8	9	5	6	8	10	82	82	SS	アイコス		5：既存資材で作成可能（新しい作成方法なし）
ミニうちわ型ステッカー			ぬい活	5点：Web deco			8	9	5	6	8	10	82	82	SS			4：既存資材で作成可能（新しい作成方法あり）
名前型アクリルペンライト		競合とデザイン差は出ない	ライブ・イベント	3点：名入れ・画像カスタマイズ	https://item.rakuten.co.jp/shop-blblbl/oshi0001/		8	9	5	6	8	10	82	82	SS	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
うちわデコパーツ追加		雪だるまやダイヤ等	コンサート	2点：既成デザイン			8	9	5	6	8	10	82	82	SS	うちわ		4：既存資材で作成可能（新しい作成方法あり）
ミニペンライト		ちびぬい用・席札	ぬい活・結婚式	5点：Web deco			8	9	5	6	8	10	82	82	SS	その他・不明・未定		3：新規資材が必要（設備の調整や治具の必要なし）
ミニゲーフラ		自立型応援旗	推し部屋・写真立て風	5点：Web deco			8	9	5	6	8	10	82	82	SS	アイロン縫製		3：新規資材が必要（設備の調整や治具の必要なし）
うちわケース		布・PVC	保管・持ち運び	5点：Web deco			8	9	5	6	8	10	82	82	SS	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
ダイカットうちわ		自由形状（肉球等）	コンサート・イベント	4点：フリーカット			8	9	5	6	8	10	82	82	SS	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
アクリルペンライト		自由形状のライト	ライブ・イベント	4点：フリーカット			8	9	5	6	8	10	82	82	SS	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
着せ替え応援うちわ・ボード			コンサート	5点：Web deco	Prozy参考		8	9	5	6	8	10	82	82	SS	うちわ	アイコス	2：新規資材が必要（設備の調整や治具の必要あり）
ミニうちわ		ちびぬい用・席札	ぬい活・結婚式	5点：Web deco			8	9	5	6	8	10	82	82	SS	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
席札うちわ（セット）			結婚式用	5点：Web deco			8	9	5	6	8	10	82	82	SS	うちわ		2：新規資材が必要（設備の調整や治具の必要あり）
見えるうちわ収納ケース				5点：Web deco	https://www.palcloset.jp/display/item/2225-KR350-0000/?b=3coins		8	9	5	6	8	10	82	82	SS			2：新規資材が必要（設備の調整や治具の必要あり）
ペンライト改造プレート		中に入れるデザイン	コンサート	5点：Web deco	https://item.rakuten.co.jp/shop-blblbl/oshi0002/		8	9	5	6	8	10	82	82	SS	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
痛バッグ		クリア素材・カスタム	推し活・イベント	5点：Web deco			8	9	5	6	8	10	82	82	SS	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
カンペうちわキット			コンサート	5点：Web deco			8	9	5	6	8	10	82	82	SS	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
立つうちわ				5点：Web deco			8	9	5	6	8	10	82	82	SS			2：新規資材が必要（設備の調整や治具の必要あり）
ホワイトボードうちわ				1点：デザイン無し			8	9	5	6	8	10	82	82	SS			2：新規資材が必要（設備の調整や治具の必要あり）
フェイスうちわ				1点：デザイン無し			8	9	5	6	8	10	82	82	SS			2：新規資材が必要（設備の調整や治具の必要あり）
ペンラケース		布・PVC	保管・持ち運び	5点：Web deco			8	9	5	6	8	10	82	82	SS	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
スケルトンうちわ（間に何か挟める）				1点：デザイン無し	https://www.instagram.com/p/CyxiixBr1AA/?igshid=MzRlODBiNWFlZA%3D%3D&img_index=3		8	9	5	6	8	10	82	82	SS			1：新設備が必要or外注のみ
ペンラの被り物		ちびぬいにも被せられる		2点：既成デザイン	https://cafepancha2.stores.jp/items/628c31030ebded742877c269		8	9	5	6	8	10	82	82	SS	その他・不明・未定		1：新設備が必要or外注のみ
折りたたみうちわ・扇子				5点：Web deco	https://x.gd/oDYGN		8	9	5	6	8	10	82	82	SS			1：新設備が必要or外注のみ
QRコードグッズ		メッセージ等を隠す	サプライズ・ギフト	5点：Web deco			8	8	8	6	8	8	79	79	S	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
ライトアップ台座アクスタ				4点：フリーカット			8	8	6	6	8	9	79	79	S	UVフリーカット		3：新規資材が必要（設備の調整や治具の必要なし）
光るアクリルキーホルダー				4点：フリーカット	https://item.rakuten.co.jp/good-select/oskt-0005/		8	8	6	6	8	9	79	79	S	UVフリーカット		3：新規資材が必要（設備の調整や治具の必要なし）
光るバッジ（ちかちか光るやつ）				5点：Web deco			8	8	6	6	8	9	79	79	S	UV一般	グッズ	3：新規資材が必要（設備の調整や治具の必要なし）
光る名札		ゲーミングタグ		5点：Web deco	https://nlab.itmedia.co.jp/nl/articles/2305/19/news208.html		8	8	6	6	8	9	79	79	S	その他・不明・未定		3：新規資材が必要（設備の調整や治具の必要なし）
推しぬいの顔パーツ（刺繍、パーツ）			ぬい活	2点：既成デザイン			8	8	5	7	8	9	78	78	S			1：新設備が必要or外注のみ
推し色デコプリシール		カラーバリエーション	推し色デコ	2点：既成デザイン	https://www.utiwa.jp/c/gr16/gr74/gr662/gd6172		8	8	5	6	8	9	78	78	S	アイコス		5：既存資材で作成可能（新しい作成方法なし）
推し言葉シール		推し活でよく使うワードを集めたもの	デコレーション	2点：既成デザイン	ダイソー参考		8	8	5	6	8	9	78	78	S	アイコス		5：既存資材で作成可能（新しい作成方法なし）
文字入りアクスタ		台座印刷（文字入れ）できるアクスタは、透明アクリル製のアクリルスタンドに好きなキャラクターやデザインを印刷し、台座部分にオリジナルの文字やロゴを入れられるカスタムグッズです。台座への名入れやコメント印刷が可能で、推し活やコレクション、プレゼントなどで世界に一つだけの特別なグッズに仕上げることができます。	アイドルや推し活をしているファンや、キャラクターグッズを愛好するオタク層がメインターゲットです。推し事の応援グッズとして、また推しへのプレゼントやファングッズ販売、イベント記念品など、応援メッセージを入れたオリジナルグッズとして活用できるため、推し活コミュニティやグッズ販売者からのニーズが高い商品です。	4点：フリーカット	https://oshiado.base.shop/items/57666236		8	8	5	6	8	9	78	78	S	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
ダイカットステッカー・フレークシール			推し活・スマホデコ	4点：フリーカット			8	8	5	6	8	9	78	78	S	アイコス	グッズ	4：既存資材で作成可能（新しい作成方法あり）
アクスタコースター		立てられるコースター	推し活・自宅用	5点：Web deco	https://www.me-q.jp/topic/acrylic-coaster-with-akusuta		8	8	5	6	8	9	78	78	S	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
推しトレカ風ステッカー		デザイン・サイズ固定	コレクション・配布	5点：Web deco			8	8	5	6	8	9	78	78	S	UV一般		4：既存資材で作成可能（新しい作成方法あり）
アクリルステッカー		厚みのあるシール	スマホ・雑貨デコ	4点：フリーカット	https://www.me-q.jp/topic/acrylic_sticker		8	8	5	6	8	9	78	78	S	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
2等身グッズ		SDキャラ風デザイン	推し活・ペット	4点：フリーカット			8	8	5	6	8	9	78	78	S	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
