開発フロー	タスク	担当	実作業(h)	AI適用カテゴリ	削減率	AI削減可能(h)	AI・エージェント活用の具体策

①名入れ商品	競合調査	管理者	0.50	調査・情報収集	70%	0.35	Claude in Chrome／検索エージェントで競合の価格・仕様・デザイン傾向を一括取得し表に自動要約。SNS・レビューからニーズも抽出。既存の競合調査フォーマットで出力。
①名入れ商品	ターゲット選定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
①名入れ商品	ニーズまとめ	管理者	0.50	調査・情報収集	70%	0.35	Claude in Chrome／検索エージェントで競合の価格・仕様・デザイン傾向を一括取得し表に自動要約。SNS・レビューからニーズも抽出。既存の競合調査フォーマットで出力。
①名入れ商品	資材の検討・決定→在庫価格一覧表に資材情報を記入	管理者	1.00	検討・データ整理(一部)	40%	0.40	作成方法の候補出し・追加内容の整理・在庫価格一覧への記入補助をAIが下書き。物理試作・最終判断は人。
①名入れ商品	商品名を検討	管理者	0.25	ネーミング・デザイン案出し	60%	0.15	商品特徴・ターゲットを渡しネーミング／バリエーション名を一括生成。スタンプ・背景は画像生成AIで案出し。最終選定のみ人。
①名入れ商品	商品決定の根拠などを商品開発部内に共有	管理者	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
①名入れ商品	注文方法、作成方法を検討	メンバー	2.00	検討・データ整理(一部)	40%	0.80	作成方法の候補出し・追加内容の整理・在庫価格一覧への記入補助をAIが下書き。物理試作・最終判断は人。
①名入れ商品	試作・調整	メンバー	2.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
①名入れ商品	差別化	管理者	1.00	文章作成・まとめ・共有資料	80%	0.80	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
①名入れ商品	販売価格の決定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
①名入れ商品	目標設定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
①名入れ商品	コンセプトまとめ	管理者	1.00	文章作成・まとめ・共有資料	80%	0.80	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
①名入れ商品	社長の確認（コンセプトを送信）	管理者	0.25	確認依頼メール作成	60%	0.15	見積・確認依頼メールをAIがテンプレから自動作成（件名への商品名挿入まで）。
①名入れ商品	作成方法を生産部（生産管理者）と打合せ	商品開発部	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
①名入れ商品	作成方法の詳細・生産の流れ確定	生産部	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
①名入れ商品	発売日確定・PRO FUN-CREATORにオフラインで商品情報共有＆ヒアリングを招集	管理者	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
①名入れ商品	PRO FUN-CREATORにオフラインで商品情報共有＆ヒアリング	商品開発部	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
①名入れ商品	商品内容を調整	商品開発部	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
