
				【年間プラン挿入ルール】\n前提\n　オリジナル：推し活＆うちわ＝3：1\n　月間の工数ポイントが10～15になるよう調整　※長期連休有りの月は多くならないよう注意\n手順\n　①新商品を追加する「機会」を決める\n　②アイデアリストから機会に合うものをAIにピックアップさせる\n　③追加のアイデア出しをAIにさせる\n　④追加アイデアをAIに評価させる

【目標値】\n2026年度の新商品を\n・月3商品追加\n・※売上KPI未定		機会	商品		【目標について】\n\n★2028年度の会社全体の売上25憶から逆算\n　↓\n★グッズECで20億として枠を設置\n\n　-----目標値-----\n\n①20億の6％を新商品が占める\n\n　=平均単価4,000円の新商品10種類が、1日に8個ずつ売れ続けている状態\n\n※「新商品」の定義：1年以内に動きを取った商品\n（新発売・バリエーション展開だけでなく、リニューアル等も含む）\n\n②週1商品発売\n（開発難易度の高い商品は2～3か月に1個、それ以外は難易度が低くオペレーションにも影響の少ない商品・横並び商品・ターゲットを広げる等の動きで調整する）\n　　　↓\n　　　↓\n　　　↓\n★2026年度の目標へ逆算（2025年5月時点）\n\n　-----目標-----\n\nKPI未定\n\n　-----現状の不足点-----\n\n・新商品コンセプトまでが1年分（最低でも半年分）つみあがっていること
	年間イベント	年間イベント2か月前	ライフイベント挿入	発売する商品	作成エリア\n（メイン）	商品タイプ	工数ポイント	タスク設定期限	タスク設定 ✓	発売予定日	発売済 ✓
\n\n\n2026年度	2026年\n5月		端午の節句			ビールジョッキ再販	グッズ	ページリニューアル	14.5	2026/01/01		5/1
	母の日			マークシールのリニューアル	うちわ	既成デザイン	2025/11/23		5/22
				等身大パネル	横並び・その他	フリーカット	2026/03/27		5/26
				アイコスイルマiワンSS【NEW本体用】	アイコス	スキンシール	2026/03/30		5/29
2026年\n6月					マックブックスキンシール	アイコス	スキンシール	12.0	2026/04/03		6/2
		夏フェス・コンサート		iPad スキンシール	アイコス	スキンシール	2026/04/06		6/5
	父の日			アクスタスタンプ	うちわ	フリーカット	2025/12/20		6/18
					​	​			6/26
2026年\n7月			部活動引退（夏の大会後）	長寿祝い	ユニフォーム型ピンズ	グッズ	名入れ	11.0	2026/01/04		7/3
		敬老の日準備	結婚		​	​			7/10
		ブライダルシーズン（9～11月）		長方形ピンズ	グッズ	名入れ	2026/01/18		7/17
					​	​			7/24
2026年\n8月			七五三	赤ちゃん・幼児		​	​	8.0			8/7
	夏フェス・コンサート				​	​			－
				※ポスターフレーム価格改定	​	ページリニューアル	2026/04/23		8/21
				ユニフォーム型バッテリー（type-C）	アイコス	名入れ	2026/03/01		8/28
2026年\n9月		部活動引退（夏の大会後）	犬の日	ペット	LOVOT等身大クッション	アイロン	ページリニューアル	13.5	2026/05/04		9/1
	敬老の日準備			LOVOTクッションキーホルダー	アイロン	ページリニューアル	2026/05/18		9/15
	ブライダルシーズン（9～11月）			目印チャームに移行（リニューアル分）	グッズ	ページリニューアル	2026/05/21		9/18
				ウォールステッカー	アイコス	フリーカット	2026/04/02		9/29
2026年\n10月		七五三	カウコン準備		等身大商品のサイズ指定方法を変更	​	ページリニューアル	14.0	2026/06/04		10/2
				Switch2 Proコン/glo hyper pro+	アイコス	スキンシール	2026/08/10		10/9
		新入生・新入社員歓迎準備		目印チャームに移行（新規分）	グッズ	ページリニューアル	2026/06/18		10/16
				うちの子あしあとアクスタスタンプ	横並び・その他	フリーカット	2026/04/26		10/23
2026年\n11月		犬の日	入園入学準備		新型iPhoneスキンシール	アイコス	スキンシール	13.5	2026/08/31		10/30
		成人の日		LOVOTネームプレート/ノンアイロンシール	横並び・その他	ページリニューアル	2026/07/16		11/13
				うちわ型紙ページのリニューアル	うちわ	ページリニューアル	2026/07/23		11/20
		部活動引退準備		ウェルカムボックス	横並び・その他	Web deco	2026/05/31		11/27
2026年\n12月		カウコン準備	卒園卒業準備		アクスタ特殊オーダー入口設置（ジオラマ等）	UV	ページリニューアル	11.0	2026/08/06		12/4
				ユニ型Webdeco化	グッズ	Web deco	2026/06/14		12/11
	新入生・新入社員歓迎準備	猫の日		スポーツ言葉ステッカー	アイコス	既成デザイン	2026/10/19		12/18
					​	​			－
2027年\n1月		入園入学準備	桃の節句			​	​	0.0			－
	成人の日				​	​			1/15
				数字グッズ/カラーグッズ	​	​			1/22
	部活動引退準備			NFC内蔵アクスタ（データ書き込みサービスも）	​	​			1/29
2027年\n2月		卒園卒業準備			LOVOT?アクスタ名札（名刺）	​	​	0.0			2/5
					​	​			2/12
	猫の日			双眼鏡	​	​			2/19
				しゃべるダイカットクッション	​	​			2/26
2027年\n3月		桃の節句	端午の節句		ミニうちわセット（ぬい活用）	​	​	0.0			3/5
		母の日		定期便 アクリルスタンド	​	​			3/12
					​	​			3/19
				お名前ポエムグッズ	​	​			3/26
2027年\n4月						​	​	0.0			4/2
				ダイカット名札（フリーカットバッジ）	​	​			4/16
		父の日			​	​			4/23
				アクスタコースター（アクスタ付き）	​	​			4/30
\n\n\n2027年度	2027年\n5月		端午の節句			－	​	​				－
	母の日	夏フェス・コンサート			​	​				5/14
					​	​				5/21
					​	​				5/28
2027年\n6月			敬老の日準備（夏季休暇で贈る）			​	​				6/4
					​	​				6/11
	父の日				​	​				6/18
					​	​				6/25
2027年\n7月			ブライダルシーズン（9～11月）			​	​				7/2
	夏フェス・コンサート				​	​				7/9
					​	​				7/16
					​	​				7/23
2027年\n8月		敬老の日準備（夏季休暇で贈る）				​	​				7/30
				－	​	​				－
					​	​				8/20
					​	​				8/27
2027年\n9月		ブライダルシーズン（9～11月）	犬の日			​	​				9/3
					​	​				9/10
		カウコン準備		－	​	​				－
		新入生・新入社員歓迎準備			​	​				9/24
2027年\n10月			入園入学準備			​	​				10/1
					​	​				10/8
					​	​				10/15
					​	​				10/22
2027年\n11月		犬の日				​	​				11/5
		成人の日			​	​				11/12
	カウコン準備			－	​	​				－
	新入生・新入社員歓迎準備				​	​				11/26
2027年\n12月		入園入学準備	卒園卒業準備			​	​				12/3
					​	​				12/10
		猫の日		－	​	​				－
		部活動引退		－	​	​				－
2028年\n1月			桃の節句		－	​	​				－
	成人の日				​	​				1/14
					​	​				1/21
					​	​				1/28
2028年\n2月		卒園卒業準備				​	​				2/4
					​	​				2/11
	猫の日				​	​				2/18
	部活動引退				​	​				2/25
2028年\n3月		桃の節句	端午の節句			​	​				3/3
		母の日			​	​				3/10
					​	​				3/17
					​	​				3/24
2028年\n4月						​	​				3/31
					​	​				4/7
		父の日			​	​				4/14
					​	​				4/21
			端午の節句
			母の日




			父の日
