※プランに入れたら緑、発売したらグレー
新商品案		概要・仕様	想定ターゲット\nと使用シーン	デザイン自由度	参考商品1	参考商品2	購買意欲\n・ニーズ	ターゲット規模	競合\n優位性	高単価化\nしやすさ	通年性	ライフイベントとの相性	総合点\n（ウェイト付き）	総合点コピペ	ランク	エリア候補1	エリア候補2	生産方法があるか\n※SS～Aランクだけ人力で評価する。

アクスタ ジオラマ		アクスタ ジオラマは、従来の平面的なアクスタを進化させた、2層3層構造の立体的なカスタムグッズです。複数のアクリル板を重ねることで奥行き感のあるシーン表現が可能になり、キャラクターやアイテムをより生き生きとした状態で展示できます。背景や小物との組み合わせにより、オリジナルの世界観を構築できる高カスタマイズ性が特徴です。	推し活を積極的に行うアニメやゲーム、アイドルのファンが主なターゲットで、特に推し活スペースやコレクション棚の装飾アイテムとして活用されます。また、イベント販売やグッズ展示の際に、他の商品との差別化を図りたいコンテンツホルダーにも最適です。個性的なアクスタを求めるオタク層による購入や、推し活の思い出を立体的に残したいファン層での利用が想定されます。	4点：フリーカット	\\New-terastation\buckup-share\00ファンクリ運営サイト\新商品\●アクリル新商品\アクスタ ジオラマ.txt		8	8	9	8	8	8	82	82	SS	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
ライトアップ台座アクスタ				4点：フリーカット			8	8	9	7	8	8	81	81	SS	UVフリーカット		3：新規資材が必要（設備の調整や治具の必要なし）
ギミック付きアクスタ		ジョイントで動くアクスタ	推し活・ライフイベント	4点：フリーカット	https://www.7sgood.com/products/P244C1512031	https://item.rakuten.co.jp/gadgetstore/solor_pop_mini/	8	8	8	7	8	8	80	80	S	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
NFC内蔵アクスタ			記念・育児・推し活・ペット	4点：フリーカット	https://prtimes.jp/main/html/rd/p/000000010.000058696.html		7	7	9	8	8	9	77	77	S	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
ボイス付きアクスタ				4点：フリーカット	https://www.trans.co.jp/oshiken/oshiproducts/voicekeyholder/		7	7	9	8	8	8	76	76	S	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
スノードームみたいなアクスタ（中身はステッカー・スマホスタンドみたいな形・薄さ）				4点：フリーカット			7	7	9	7	8	8	75	75	S			1：新設備が必要or外注のみ
Web decoのボイスアクスタ					https://www.trans.co.jp/works/odm/myhappymarriagepartners/	　	7	7	8	9	7	8	74	74	A			1：新設備が必要or外注のみ
アクリルペンライト		自由形状のライト	ライブ・イベント	4点：フリーカット			7	7	8	6	8	8	73	73	A	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
アパレルステッカー					https://ship.inc/product/apparelsticker/	　	7	7	8	6	8	8	73	73	A			2：新規資材が必要（設備の調整や治具の必要あり）
